epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list
60,1.1288117371834199,0.9140919073535477,0.14314655343127872,0.2116670698831824,0.053736958652734756,0.6373490837062552,0.3003045618534088,0.0009955718126821722,0.1583840698003769,0.6041131615638733,"[0.04864192008972168, 0.0489048957824707, 0.04934525489807129, 0.04831665754318237]"
61,1.1407111053912071,0.9287060454804846,0.1413367065132087,0.19714227494758185,0.049222975969314575,0.6493904319857551,0.3378157317638397,0.0009954234321365998,0.13979358971118927,0.6162344217300415,"[0.0893436074256897, 0.09009712934494019, 0.08957701921463013, 0.0902397632598877]"
62,1.1324456411614203,0.9171894005990762,0.14350416122035214,0.19887754602428515,0.037620607763528824,0.6518194725347103,0.33265480399131775,0.0009952726293608336,0.18204365670681,0.6465204358100891,"[0.030379831790924072, 0.030553102493286133, 0.03033369779586792, 0.02925032377243042]"
63,1.1611679955858993,0.9389611534052144,0.14813789513939662,0.1537522176908366,0.050641804933547974,0.6443042261222385,0.335007905960083,0.0009951194058432362,0.15392662584781647,0.6124854683876038,"[0.08507043123245239, 0.07450062036514282, 0.07510113716125488, 0.07512664794921875]"
64,1.146858587966743,0.9182508567405367,0.15240515525459397,0.14350115780742378,0.05644066259264946,0.6630508447495577,0.36641883850097656,0.0009949637630960618,0.16057057678699493,0.6138599514961243,"[0.04269003868103027, 0.044070303440093994, 0.04514259099960327, 0.04648137092590332]"
65,1.098130759406597,0.8763568833223753,0.1478492503470563,0.17084463779636413,0.06100084260106087,0.6424268569422493,0.3601686656475067,0.0009948057026554415,0.1697208285331726,0.5619878172874451,"[0.15280002355575562, 0.15304112434387207, 0.15338975191116333, 0.15111684799194336]"
66,1.1140502752564478,0.8954523422757503,0.1457319543575846,0.1965892922974125,0.04008200764656067,0.6487872772066522,0.33896341919898987,0.000994645226081368,0.19537846744060516,0.6139920353889465,"[0.02228778600692749, 0.018638253211975098, 0.018543720245361328, 0.01924031972885132]"
67,1.1400864989481356,0.9309047539112979,0.13945449659728554,0.07343724798967766,0.030121667310595512,0.6567361382027763,0.3471648395061493,0.0009944823349576806,0.1601642370223999,0.6251754760742188,"[0.09633505344390869, 0.09775543212890625, 0.09929347038269043, 0.09203100204467773]"
68,1.1080304931664298,0.893802223335203,0.14281884667157563,0.0244532816064146,0.014131435193121433,0.6614007126901724,0.3799206018447876,0.0009943170308920482,0.13568036258220673,0.6018542051315308,"[0.042992591857910156, 0.04660618305206299, 0.046706438064575195, 0.06151628494262695]"
69,1.1061660726301494,0.8998272824794689,0.13755919289363475,0.11464957604663487,0.04991571232676506,0.6493229709655758,0.3687015771865845,0.0009941493155159562,0.18576884269714355,0.5928162932395935,"[0.011852860450744629, 0.011399388313293457, 0.012452244758605957, 0.012534260749816895]"
70,1.095739686954106,0.9094545884898932,0.12419006651174938,0.21509657035552177,0.08307089656591415,0.6567716440028707,0.37932243943214417,0.000993979190484687,0.18898499011993408,0.577883780002594,"[0.021521449089050293, 0.02383291721343994, 0.023949146270751953, 0.027048826217651367]"
71,1.1104858946715686,0.9191972306152326,0.1275257757792236,0.2009213497384853,0.05338795855641365,0.6636460107236393,0.3780716359615326,0.000993806657477306,0.22564999759197235,0.5984435677528381,"[0.015618681907653809, 0.017092466354370117, 0.016765952110290527, 0.021721243858337402]"
72,1.1182261305920622,0.9076106493354689,0.14041031942863555,0.2190477321951107,0.08968684822320938,0.6648576461518592,0.3654435873031616,0.0009936317181966443,0.20941488444805145,0.6130086779594421,"[0.14345461130142212, 0.12026762962341309, 0.12157547473907471, 0.12103915214538574]"
73,1.1094823630425383,0.8720881457024432,0.15826281165400297,0.13568235754936522,0.0498693473637104,0.6689439199202185,0.35935917496681213,0.000993454374369282,0.20574794709682465,0.6298342347145081,"[0.06772178411483765, 0.0648534893989563, 0.06624996662139893, 0.06579440832138062]"
74,1.126518219145759,0.8908754540673385,0.1570951774469786,0.21539466256537868,0.03931222856044769,0.5263042500886536,0.20016467571258545,0.0009932746277455317,0.1762840896844864,0.47478386759757996,"[0.07730555534362793, 0.07677537202835083, 0.07707500457763672, 0.07766610383987427]"
75,1.437487566231554,1.2075557378307866,0.15328788496641965,0.22025846178659478,0.045825883746147156,0.5943746385620506,0.21589820086956024,0.000993092480099419,0.17638392746448517,0.5350896716117859,"[0.0642731785774231, 0.06413334608078003, 0.06391018629074097, 0.06316393613815308]"
76,1.2831679127458704,1.070387627145641,0.14185352387439557,0.025697852584041843,0.011145774275064468,0.6126982943457457,0.2589990794658661,0.0009929079332286685,0.19183146953582764,0.6526712775230408,"[0.03215336799621582, 0.03197258710861206, 0.03146493434906006, 0.03265148401260376]"
77,1.2057670085001782,0.9872864242422947,0.14565372290904358,0.1998078241284763,0.04375768080353737,0.625972137711021,0.2759009897708893,0.0009927209889546828,0.18307757377624512,0.6431764364242554,"[0.03519082069396973, 0.03390157222747803, 0.03537297248840332, 0.03179430961608887]"
78,1.1563777133787214,0.935415259771595,0.1473083031797522,0.2385382105251031,0.05710302293300629,0.6606994731383089,0.36034464836120605,0.0009925316491225266,0.17031456530094147,0.6228982210159302,"[0.10259377956390381, 0.10133051872253418, 0.10207748413085938, 0.09605264663696289]"
79,1.1293858940015167,0.9154473156371015,0.14262571923839848,0.2233182271145826,0.05346505343914032,0.6537474374798338,0.3188823163509369,0.0009923399156009072,0.2477540522813797,0.6402440071105957,"[0.04499143362045288, 0.0443304181098938, 0.044158339500427246, 0.04507803916931152]"
80,1.108624843277266,0.8993718165455135,0.13950201946511054,0.23683534077555818,0.05709599331021309,0.6642598172427705,0.35583212971687317,0.0009921457902821577,0.21854466199874878,0.6187416911125183,"[0.02030491828918457, 0.020096302032470703, 0.019853591918945312, 0.020644783973693848]"
81,1.0651830121980492,0.8649577916936672,0.13348348082943728,0.46193276076588097,0.11171340197324753,0.6737301017729378,0.37870100140571594,0.0009919492750822163,0.17978926002979279,0.6191776990890503,"[0.0161626935005188, 0.01630401611328125, 0.01583617925643921, 0.01888430118560791]"
82,1.0930803559773357,0.8776084489715297,0.14364793861447778,0.19232347756964124,0.03913062438368797,0.6481268693248972,0.31543317437171936,0.0009917503719406087,0.1621994525194168,0.5694295763969421,"[0.10223156213760376, 0.1007997989654541, 0.10196304321289062, 0.09637832641601562]"
83,1.1684119871181236,0.9444763823181179,0.14929040315303396,0.13083511900647452,0.038639478385448456,0.6633433237778349,0.34892138838768005,0.0009915490828204287,0.17216241359710693,0.6280393004417419,"[0.12476074695587158, 0.12257623672485352, 0.123909592628479, 0.12507808208465576]"
84,1.1330415623407837,0.915604803860892,0.14495783875174556,0.1751568944263957,0.03913591057062149,0.6683167987260519,0.37313684821128845,0.0009913454097083185,0.04976046457886696,0.6039628982543945,"[0.04725533723831177, 0.04763883352279663, 0.04758870601654053, 0.06657230854034424]"
85,1.1135860348283257,0.8966743545188408,0.1446077859570794,0.1983152029907145,0.04108920320868492,0.6562905404115921,0.3503948748111725,0.0009911393546144496,0.04583814740180969,0.5961671471595764,"[0.018352031707763672, 0.01860445737838745, 0.018352627754211426, 0.017708659172058105]"
86,1.0747785265282255,0.8591418145114367,0.14375780934983112,0.19757969286421972,0.03912914916872978,0.6667376782668554,0.3582029640674591,0.0009909309195725025,0.19903399050235748,0.6219438910484314,"[0.06028544902801514, 0.06014895439147949, 0.06119447946548462, 0.06733661890029907]"
87,1.0622576985939738,0.8446160478090282,0.14509443357481178,0.17503304935370154,0.03720124810934067,0.6835026294264083,0.38250279426574707,0.0009907201066396468,0.22883610427379608,0.6537180542945862,"[0.0931692123413086, 0.08870702981948853, 0.08821982145309448, 0.08335751295089722]"
88,1.0396824934944757,0.8271234091151127,0.14170605606502956,0.07864954148521923,0.028465164825320244,0.6773960756326801,0.36137497425079346,0.0009905069178965213,0.22612090408802032,0.6573931574821472,"[0.11096924543380737, 0.10898745059967041, 0.11067122220993042, 0.11386877298355103]"
89,1.028359481206177,0.8118836635252544,0.1443172126797074,0.10774305315545725,0.03440578281879425,0.6470004478169037,0.37816640734672546,0.000990291355447213,0.18681283295154572,0.5813285708427429,"[0.10391783714294434, 0.10299831628799438, 0.10514497756958008, 0.10664701461791992]"
